name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Cozy 1BD in the lower east side,6050632,Manhattan,Lower East Side,40.72138,-73.98371,Entire home/apt,159,3,1,2014-08-28,0.02,1,0
"Sunny and Quiet private apartment, great location!",7245581,Manhattan,Chelsea,40.74994,-73.99612,Entire home/apt,95,75,13,2019-04-30,0.23,19,245
Sunny 2BR Flex Loft in Greenpoint,7503643,Brooklyn,Greenpoint,40.72705,-73.94033,Entire home/apt,159,30,3,2016-09-09,0.08,52,365
Cozy Wiliamsburg!,18343265,Brooklyn,Bushwick,40.69942,-73.91209,Private room,65,4,18,2015-12-22,0.3,1,0
Cozy 1 BD apartment in Sunset park,17917168,Brooklyn,Sunset Park,40.65046,-74.00402,Entire home/apt,100,1,26,2019-03-24,2.52,1,0
Sunny room in Alphabet City,3563235,Manhattan,East Village,40.72135,-73.98,Private room,85,5,12,2016-09-06,0.2,1,0
Sunlight filled top floor refuge with roof deck,534776,Brooklyn,Prospect Heights,40.6786,-73.96694,Entire home/apt,175,2,25,2019-01-05,0.43,1,2
Brooklyn Carroll Gardens Charmer!,18388112,Brooklyn,Carroll Gardens,40.68235,-73.99806,Entire home/apt,175,3,4,2016-10-03,0.07,1,0
Luxurious Brooklyn 2BD w/ Parking,16916853,Brooklyn,Sheepshead Bay,40.58363,-73.93553,Entire home/apt,260,7,3,2017-03-13,0.05,2,363
"Cozy Brooklyn  studio, 30 min to Manhattan",2052361,Brooklyn,Prospect-Lefferts Gardens,40.6553,-73.95816,Entire home/apt,80,3,24,2019-06-23,0.4,3,19
Relaxed Elegance in a Brownstone,18397763,Brooklyn,Bedford-Stuyvesant,40.68635,-73.93246,Private room,69,2,56,2019-07-02,0.95,7,66
Chill 1bdrm Bk getaway,10263308,Brooklyn,Bedford-Stuyvesant,40.68949,-73.92784,Entire home/apt,100,3,36,2018-08-02,0.6,1,89
"Lovely, quiet, private, close to everything",5909599,Queens,Ditmars Steinway,40.77591,-73.9145,Private room,85,1,31,2019-06-04,0.51,2,84
Bright & Modern Apt. in Brooklyn NY,14945045,Brooklyn,Bay Ridge,40.63777,-74.02497,Entire home/apt,95,3,2,2015-08-23,0.03,1,0
Reno 2BR~Sleeps5~Prime Upper east~,2119276,Manhattan,Upper East Side,40.76043,-73.95992,Entire home/apt,160,30,15,2019-04-07,0.25,39,333
Welcome to Kensington,946672,Brooklyn,Kensington,40.63402,-73.97556,Private room,49,2,6,2016-09-05,0.1,1,0
Quiet Room in East Williamsburg,17525930,Brooklyn,Williamsburg,40.71566,-73.941,Private room,65,1,35,2016-11-13,0.88,1,0
Gramercy~Reno New 1BR-Sleeps 4~,2119276,Manhattan,Gramercy,40.73568,-73.98062,Entire home/apt,150,30,2,2015-08-07,0.03,39,331
 AMAZING TIME SQUARE!!BRICK WALLS!!,1475015,Manhattan,Hell's Kitchen,40.76073,-73.99215,Entire home/apt,115,30,3,2016-02-22,0.06,52,342
Bay Beauty - Room On The Water!,681225,Queens,Rockaway Beach,40.5903,-73.8143,Private room,113,2,36,2019-07-07,0.74,1,365
"BRAND NEW 1BD, Columbus Circle!!",1475015,Manhattan,Hell's Kitchen,40.76882,-73.98699,Entire home/apt,110,30,10,2019-03-15,0.18,52,323
"Sunny, spacious room in 3BR apt",7920086,Manhattan,East Harlem,40.78698,-73.944,Private room,75,11,14,2018-03-15,0.23,3,0
ROOFTOP SWIMMING-POOL 1/BR APT.,15784,Manhattan,Midtown,40.7509,-73.96963,Entire home/apt,250,5,2,2017-08-07,0.04,1,0
Great Room for International Students!,18492106,Bronx,Wakefield,40.88855,-73.85127,Private room,50,7,12,2018-09-15,0.55,1,0
Sunny/Cozy 1BD,18495460,Brooklyn,Crown Heights,40.6737,-73.95335,Entire home/apt,81,30,99,2019-01-06,1.67,3,318
Home Away from Home-Room in Midtown,12327430,Manhattan,Hell's Kitchen,40.76625,-73.99387,Private room,69,3,168,2019-06-23,2.88,2,129
Amazing LOFT in Prime Williamsburg,8182126,Brooklyn,Greenpoint,40.71952,-73.94844,Private room,125,5,1,2016-05-14,0.03,2,0
Private Room in Williamsburg,3344830,Brooklyn,Williamsburg,40.71202,-73.96665,Private room,65,5,2,2015-01-04,0.03,1,0
Beautiful 1 BR - Downtown Union Square,18556644,Manhattan,East Village,40.73312,-73.99097,Entire home/apt,150,62,0,,0.0,1,358
5144-Prime Doorman!78ST & Madison ,16098958,Manhattan,Upper East Side,40.77448,-73.96102,Entire home/apt,175,30,2,2019-05-30,0.06,96,281
Comfortable Place in Brooklyn,18565670,Brooklyn,Midwood,40.62401,-73.95775,Private room,49,2,26,2019-04-15,0.54,1,362
Nolita Duplex w/ private terrace,8200795,Manhattan,Nolita,40.72168,-73.99544,Entire home/apt,191,3,51,2019-06-30,0.88,1,55
1 Bedroom Apartment in Gramcery!,14041891,Manhattan,Flatiron District,40.7411,-73.98455,Entire home/apt,200,4,0,,0.0,1,0
Stylish & Spacious Perfect for Pride!,18567895,Manhattan,Hell's Kitchen,40.76522,-73.99486,Entire home/apt,250,2,6,2016-06-17,0.11,1,0
"Landmark Cottage, Brownstone block",710916,Brooklyn,Crown Heights,40.67541,-73.94408,Entire home/apt,216,1,233,2019-07-02,3.89,1,295
Beautiful duplex for family w/kids ,18570567,Brooklyn,Bedford-Stuyvesant,40.68412,-73.95039,Entire home/apt,200,3,0,,0.0,1,0
"Big WBurg Rm, 5 min from L, Fits 4!",18272570,Brooklyn,Williamsburg,40.70917,-73.94918,Private room,119,2,43,2016-06-30,0.72,1,0
Sunny & Modern 1-BR | Central Park,13347167,Manhattan,Upper East Side,40.77222,-73.95604,Entire home/apt,118,30,4,2019-02-02,0.08,29,341
"Murray Hill, The Heart of Manhattan",6913016,Manhattan,Midtown,40.74911,-73.98202,Private room,95,3,67,2019-06-11,1.65,1,355
Great Greenpoint Apartment,5872286,Brooklyn,Greenpoint,40.73526,-73.95375,Entire home/apt,110,3,34,2018-05-19,0.57,1,12
Brooklyn Brownstone,17544112,Brooklyn,Bay Ridge,40.62356,-74.024,Entire home/apt,170,4,137,2019-07-04,2.55,1,302
Cozy Private UES Studio Apt!,18594426,Manhattan,Upper East Side,40.7729,-73.95276,Entire home/apt,99,3,9,2019-05-30,0.15,1,0
"Bright & New Reno, Quiet Block",16437254,Brooklyn,Bedford-Stuyvesant,40.68337,-73.95819,Entire home/apt,172,30,9,2019-03-27,0.16,21,342
Private RM | Queens | 20min to city,6966831,Queens,Sunnyside,40.74532,-73.91974,Private room,75,2,3,2015-07-23,0.06,1,0
Affordable long stay room for individual,4578923,Brooklyn,Bedford-Stuyvesant,40.69437,-73.95841,Private room,50,5,18,2019-05-19,0.79,1,0
Cozy Vintage Artist Flat(Williamsburg/Bushwick),2702080,Brooklyn,Bedford-Stuyvesant,40.6916,-73.94714,Private room,77,2,145,2019-06-02,2.42,1,365
"Brooklyn Loft Studio, One Subway from Manhattan",2076525,Brooklyn,Navy Yard,40.69839,-73.97666,Entire home/apt,125,14,15,2019-06-18,0.41,1,32
Beautiful Large Sunny Bedroom,18681479,Queens,Sunnyside,40.74189,-73.92375,Private room,75,2,111,2019-06-24,1.89,1,348
Modern Harlem Flat,9553177,Manhattan,Harlem,40.80677,-73.94977,Entire home/apt,350,2,13,2017-06-09,0.35,1,0
Per/night Room Brklyn New York,2120259,Brooklyn,Crown Heights,40.66709,-73.9514,Private room,55,4,27,2019-07-05,0.46,4,261
beautiful brownstone,18693665,Brooklyn,Bedford-Stuyvesant,40.68138,-73.95018,Entire home/apt,99,2,216,2019-06-24,3.61,1,321
Bright. Clean. Elegant. A perfect Brooklyn home.,17051201,Brooklyn,Park Slope,40.67164,-73.97761,Entire home/apt,545,2,6,2018-12-29,0.12,3,227
Sunny Warm Quiet NYC Retreat,7474069,Manhattan,Washington Heights,40.84686,-73.94181,Private room,70,2,277,2019-06-13,4.67,3,244
Peaceful 2BR inside a brownstone,378737,Brooklyn,Bedford-Stuyvesant,40.68908,-73.92893,Private room,250,2,0,,0.0,1,365
Spacious 2 bedroom 1 bathroom BRKLY,18726889,Brooklyn,Bushwick,40.68781,-73.91377,Entire home/apt,150,4,2,2014-08-21,0.03,1,0
(Hidden by Airbnb) ! BrooklynCleanRoom!!,2955491,Brooklyn,Bushwick,40.69753,-73.93619,Private room,55,2,20,2019-06-25,0.41,1,19
Crown Hts Beauty: Quiet and Cozy!,18030682,Brooklyn,Crown Heights,40.67472,-73.94737,Entire home/apt,100,7,46,2019-06-29,0.87,1,0
Stunning Studio in Fort Greene,15817252,Brooklyn,Clinton Hill,40.69494,-73.96888,Entire home/apt,100,5,7,2017-01-04,0.12,1,0
Private Apt. in Brooklyn Brownstone + Garden,2640773,Brooklyn,Bedford-Stuyvesant,40.68822,-73.94357,Entire home/apt,95,2,116,2019-05-29,2.18,1,226
Irving Place!Doorman!Laundry 5135,16098958,Manhattan,Gramercy,40.73632,-73.98475,Entire home/apt,175,30,0,,0.0,96,312
1 BR Apt steps from Central Park! #10223,18690148,Manhattan,Upper West Side,40.77905,-73.97939,Entire home/apt,200,4,22,2019-07-01,0.45,1,2
Enchanting Studio in West Village,5771331,Manhattan,Greenwich Village,40.72858,-73.99951,Entire home/apt,190,1,20,2016-05-04,0.33,1,0
"spacious, quiet room w/private bath: BK brownstone",4765290,Brooklyn,Bedford-Stuyvesant,40.68769,-73.95333,Private room,65,2,3,2016-08-08,0.06,1,0
The Brooklyn Public House Apartment,2461535,Brooklyn,Fort Greene,40.68927,-73.96957,Entire home/apt,400,2,120,2019-06-23,2.05,1,300
Peaceful and breezy one bedroom,11371357,Brooklyn,Kensington,40.64644,-73.9756,Entire home/apt,95,1,10,2018-12-29,0.21,1,0
"West Village Loft, 2nd floor",2267864,Manhattan,West Village,40.73419,-74.00213,Entire home/apt,197,2,207,2019-06-30,3.46,2,166
Spacious 5 BR house in Brooklyn,2673332,Brooklyn,Kensington,40.64295,-73.97632,Entire home/apt,395,3,20,2018-08-14,0.34,1,9
THE BEST HOUSE IN BROOKLYN !,17696653,Brooklyn,Bedford-Stuyvesant,40.69134,-73.94468,Private room,100,1,2,2016-08-28,0.04,1,365
"Modern, Bright, Airy Brooklyn Apt",1010344,Brooklyn,Bedford-Stuyvesant,40.68592,-73.95502,Entire home/apt,200,3,6,2016-01-01,0.1,1,0
Welcome to Williamsburg!,18646528,Brooklyn,Williamsburg,40.71385,-73.94156,Entire home/apt,165,3,6,2017-04-01,0.1,1,0
"Sunny, Spacious Carroll Gardens 1BR",1176165,Brooklyn,Carroll Gardens,40.68431,-73.99782,Entire home/apt,145,5,4,2015-11-07,0.07,1,0
Weeklong Discounted Bklyn Apt by Train & Near Dwtn,807340,Brooklyn,Brownsville,40.66827,-73.92509,Entire home/apt,75,1,135,2019-07-01,2.27,1,174
Fabulous Loft Studio in Gramercy,18138735,Manhattan,Gramercy,40.73343,-73.98634,Entire home/apt,180,3,72,2019-01-02,1.22,1,25
Experience NYC to the fullest @UES!,18836774,Manhattan,Upper East Side,40.77542,-73.95437,Private room,73,4,48,2019-01-19,0.8,5,153
Your NYC home in the Upper East Side!,18836774,Manhattan,Upper East Side,40.77579,-73.9557,Private room,87,3,61,2019-05-29,1.01,5,132
Your NYC headquarters @ the Upper East Side!,18836774,Manhattan,Upper East Side,40.77688,-73.95616,Private room,74,3,60,2019-06-27,1.0,5,169
Amazing Location!,5465947,Brooklyn,Prospect Heights,40.67948,-73.97219,Private room,65,1,6,2015-08-21,0.12,1,0
Greenwich Village in the Sky,7644834,Manhattan,Greenwich Village,40.7284,-73.99812,Entire home/apt,199,8,48,2019-06-19,1.06,1,37
Quaint Room in Brooklyn,18866837,Brooklyn,Park Slope,40.67916,-73.97454,Private room,65,60,2,2016-09-07,0.03,1,0
1 bedroom apartment on the UWS,3146957,Manhattan,Upper West Side,40.77918,-73.9874,Entire home/apt,160,7,5,2016-07-05,0.09,1,0
Brooklyn Apartment W/ Balcony,10972334,Brooklyn,Bushwick,40.69825,-73.92788,Private room,175,1,6,2015-11-04,0.1,2,0
SUBLET in the UWS,18876264,Manhattan,Upper West Side,40.77817,-73.97844,Entire home/apt,200,1,0,,0.0,1,0
Reno 2BR~prime union squar~,2119276,Manhattan,East Village,40.73268,-73.98689,Entire home/apt,195,30,7,2017-10-22,0.14,39,331
Cozy spacious room in Crown Heights,6932160,Brooklyn,Crown Heights,40.66935,-73.9485,Private room,99,5,27,2018-10-25,0.7,1,365
Garden Apartment with private patio in Townhouse,188896,Brooklyn,Clinton Hill,40.69034,-73.96675,Entire home/apt,175,1,121,2019-01-21,2.03,2,171
A Beautiful Alvoce Studio,10856201,Manhattan,Hell's Kitchen,40.76027,-73.99081,Entire home/apt,190,1,0,,0.0,1,0
Huge 1.5BR Artist Home in Brownstone Brooklyn :),7420906,Brooklyn,Bedford-Stuyvesant,40.68473,-73.95697,Entire home/apt,99,3,10,2018-11-13,0.28,1,66
"CENTRAL Clean, Peaceful Private Room NoLita",1788746,Manhattan,Nolita,40.7216,-73.99558,Private room,100,2,6,2018-01-01,0.16,1,0
Stunning renovated greystone,18929364,Brooklyn,Prospect-Lefferts Gardens,40.66271,-73.95392,Entire home/apt,199,2,18,2018-08-25,0.3,1,0
THREE BEDROOM APARTMENT IN BROOKLYN,318729,Brooklyn,Bedford-Stuyvesant,40.67862,-73.94687,Entire home/apt,199,3,118,2019-07-01,2.12,1,23
Vintage NYC apt 15min from Times Sq,15789646,Queens,Sunnyside,40.74502,-73.9169,Entire home/apt,100,3,70,2019-07-01,1.21,2,319
Summer Porch: Taking Manhattan? Sleep in Astoria!,3007815,Queens,Astoria,40.76977,-73.91596,Shared room,45,2,38,2019-07-04,1.6,2,38
Sunny Private Room at Central Park!,9784206,Manhattan,East Harlem,40.79508,-73.94895,Private room,72,1,204,2019-07-05,3.41,1,219
Quiet spot in NYC,13042411,Manhattan,East Village,40.72669,-73.98419,Entire home/apt,129,2,179,2019-06-08,2.99,1,179
Beautiful 2 Bedroom Townhouse,18970667,Brooklyn,Bedford-Stuyvesant,40.68205,-73.94239,Entire home/apt,100,3,168,2019-06-27,2.81,1,317
CHARMING BROOKLYN LOFT WITH PATIO,18393872,Brooklyn,Bedford-Stuyvesant,40.69141,-73.95886,Entire home/apt,85,7,2,2017-05-15,0.03,1,0
Two Porches & Private Room,5573250,Brooklyn,Kensington,40.6413,-73.98233,Private room,70,1,2,2015-07-06,0.03,1,0
Sleek 1 bdrm in East W'burg/Bwick,18988423,Brooklyn,Williamsburg,40.70536,-73.94229,Entire home/apt,100,2,5,2015-12-27,0.09,1,0
Sunny South Williamsburg Apartment,1363910,Brooklyn,Williamsburg,40.70914,-73.95236,Entire home/apt,160,3,1,2014-09-01,0.02,1,0
Amazing apartment with your old private bathroom,19011946,Manhattan,Upper East Side,40.77883,-73.95498,Entire home/apt,185,30,1,2014-09-15,0.02,2,365
"Sunny zen apt in Park Slope, BK",4830699,Brooklyn,Gowanus,40.6779,-73.98421,Entire home/apt,162,1,9,2016-09-06,0.23,1,0
Great place near Flushing Meadow,19044620,Queens,Forest Hills,40.73538,-73.853,Private room,80,1,2,2014-10-22,0.03,1,0
Manhattan Apartment- low rate ,19044783,Manhattan,Harlem,40.80257,-73.9548,Private room,200,1,0,,0.0,1,0
Private room in 3 bedroom apartment Bed Stuy,19046961,Brooklyn,Bedford-Stuyvesant,40.68905,-73.92685,Private room,45,5,8,2019-05-01,0.31,1,247
Factory Converted Studio Loft in GP,7503643,Brooklyn,Greenpoint,40.72533,-73.94204,Entire home/apt,129,30,6,2019-04-01,0.12,52,188
"Quaint, Quiet 1BD",19067223,Brooklyn,Williamsburg,40.71795,-73.95804,Private room,55,1,1,2015-06-17,0.02,1,0
Sunny Bedroom in Bushwick Luxury Building,19072805,Brooklyn,Bushwick,40.69865,-73.92972,Private room,68,5,12,2018-12-05,0.26,1,14
Williamsburg Brooklyn quiet abode,7598755,Brooklyn,Williamsburg,40.71985,-73.94422,Entire home/apt,120,2,1,2016-03-13,0.02,1,0
Beautiful Room in Sunny Brooklyn Apartment,5064699,Brooklyn,Bedford-Stuyvesant,40.68732,-73.94058,Private room,55,2,41,2019-01-04,1.09,2,0
Sanctuary Quiet Room in Apartment,19107278,Brooklyn,Bushwick,40.70033,-73.91197,Private room,50,5,0,,0.0,2,0
Sanctuary Close To Manhattan ,19107278,Brooklyn,Bushwick,40.7001,-73.91204,Private room,50,5,2,2016-06-01,0.03,2,0
True Industrial Loft in Brooklyn,19111611,Brooklyn,Navy Yard,40.69817,-73.9654,Entire home/apt,150,1,7,2016-07-11,0.12,1,0
1 BR Beautiful Central Williamsburg,10675384,Brooklyn,Williamsburg,40.72037,-73.9596,Entire home/apt,140,30,21,2016-09-13,0.38,1,252
"Large apartment, 2BR, Midtown NYC! 3D",17770287,Manhattan,Midtown,40.75068,-73.98177,Entire home/apt,136,30,9,2018-12-16,0.17,14,220
Beautiful Private Bedroom in Soho,3586725,Manhattan,Nolita,40.72339,-73.99477,Private room,92,5,0,,0.0,1,0
Rest your head-West Side Manhattan,2523466,Manhattan,Hell's Kitchen,40.76215,-73.99036,Private room,125,3,133,2019-06-26,2.25,1,9
Large Bedroom in Brooklyn for June and July.,14102923,Brooklyn,Flatbush,40.65136,-73.95974,Private room,48,5,0,,0.0,1,0
NYC: an Upper-Eastside room of your own!,18836774,Manhattan,Upper East Side,40.77693,-73.95632,Private room,82,3,56,2019-06-29,0.94,5,138
2br in Manhattan NY ,10577253,Manhattan,Harlem,40.81217,-73.95303,Entire home/apt,150,1,3,2016-01-02,0.05,1,0
Large Light-Filled Brownstone 1-BR,19131844,Brooklyn,Bedford-Stuyvesant,40.68237,-73.94811,Entire home/apt,90,8,17,2019-03-12,0.42,1,0
Missy's Place,19133023,Brooklyn,Bedford-Stuyvesant,40.68667,-73.93897,Entire home/apt,117,5,105,2019-06-27,1.77,1,6
Have your NYC experience with us!,18836774,Manhattan,Upper East Side,40.77707,-73.95652,Private room,71,3,55,2019-06-01,1.03,5,156
Beautiful apartment by Columbus Circle,9859391,Manhattan,Chelsea,40.74944,-73.99631,Entire home/apt,390,3,10,2019-01-02,0.17,1,9
*WARM*Beautiful*Room*ST. GEORGE steps to ferry!,19143974,Staten Island,St. George,40.64408,-74.07834,Private room,58,3,93,2019-05-06,2.1,1,279
Clean+Comfy+Cozy Room in NYC Home,9535767,Queens,Woodside,40.74626,-73.9009,Private room,50,5,3,2015-08-07,0.05,1,0
Stunning 2BR Apartment in Top Location,2203817,Brooklyn,Park Slope,40.67256,-73.97212,Entire home/apt,150,5,10,2018-01-03,0.17,1,0
Private Rm in heart of Williamsburg,15805343,Brooklyn,Williamsburg,40.71858,-73.95711,Private room,150,1,9,2016-06-07,0.19,1,0
Sunny Bedroom in El Barrio,522065,Manhattan,East Harlem,40.79416,-73.93984,Private room,80,7,47,2019-05-23,0.8,2,121
Williamsburg Apt. w/ private patio,10094431,Brooklyn,Williamsburg,40.71623,-73.96415,Private room,115,1,78,2019-07-01,1.31,1,8
SPACIOUS LIVINGROOM IN BROOKLYN,19191737,Brooklyn,Windsor Terrace,40.65084,-73.97334,Private room,70,10,0,,0.0,1,0
GREAT ONE BED! ELEVATOR/LAUNDRY ,1475015,Manhattan,Upper East Side,40.77175,-73.95742,Entire home/apt,95,30,10,2018-11-10,0.22,52,336
A Fantastic Master Bedroom Suite in a 3BD apt,15270760,Brooklyn,Bedford-Stuyvesant,40.69411,-73.93987,Private room,85,2,1,2018-01-01,0.05,1,0
New & Modern 2 BR Brownstone Apt.,14961638,Brooklyn,Bedford-Stuyvesant,40.68772,-73.95484,Entire home/apt,180,3,72,2019-06-17,1.31,1,291
New Bright & Modern Apartment within a Brownstone,9928037,Manhattan,Murray Hill,40.74735,-73.97671,Entire home/apt,149,3,8,2018-01-02,0.17,1,0
last minute TRIBECA CONDO AVAILABLE,19233588,Manhattan,Tribeca,40.71726,-74.01134,Entire home/apt,200,7,16,2017-09-19,0.34,1,0
"Manhattan Sun Drenched 
Near Gramercy",17465563,Manhattan,Gramercy,40.73601,-73.98205,Private room,69,2,177,2019-06-22,2.98,1,285
Central Park West & Columbia U: Comfy Private Room,19240279,Manhattan,Morningside Heights,40.80645,-73.95804,Private room,85,5,25,2019-01-02,0.44,1,198
★ Convenience & Comfort Awaits!  ♥️ Your Stay! ★,19242857,Brooklyn,Crown Heights,40.67472,-73.93,Entire home/apt,117,1,82,2019-06-16,1.39,1,280
Spacious Studio in West Village!,18270150,Manhattan,West Village,40.73243,-74.00052,Entire home/apt,219,1,68,2019-06-25,1.15,1,122
Charming studio for rent in Astoria,19250606,Queens,Astoria,40.75508,-73.91673,Entire home/apt,100,2,141,2019-07-02,2.43,1,216
Hey Beautiful Brooklyn Brownstone!,10491406,Brooklyn,Prospect Heights,40.67609,-73.96459,Entire home/apt,320,3,39,2019-04-21,0.71,1,242
Large Room in Penthouse Apartment,9864136,Manhattan,Kips Bay,40.74213,-73.9801,Private room,95,30,54,2018-12-16,0.91,26,335
Bushwick Room w/ Private Entrance & Bathroom!,12720552,Brooklyn,Bushwick,40.70322,-73.92913,Private room,110,1,16,2019-06-15,0.32,5,345
Perfect mid summer apart available,19272788,Manhattan,Harlem,40.80581,-73.95374,Entire home/apt,105,24,2,2018-08-31,0.04,1,60
"Beautiful 1BR with Yard, Williamsburg",3022504,Brooklyn,Williamsburg,40.7151,-73.95422,Entire home/apt,134,4,46,2019-06-18,0.89,1,32
Sunny Private Room Facing Beautiful Prospect Park,5242693,Brooklyn,Flatbush,40.65441,-73.96257,Private room,45,10,9,2018-05-16,0.26,1,90
Feel at home in Manhattan at charming NY apartment,5160726,Manhattan,Kips Bay,40.73967,-73.98041,Entire home/apt,200,13,3,2016-05-15,0.05,1,166
THEATRE DISTRICT - LARGE ROOM,5086937,Manhattan,Hell's Kitchen,40.76559,-73.99221,Private room,110,2,79,2019-06-24,1.33,1,80
Romantic 1 bedroom Part2 Harlem USA,17479416,Manhattan,East Harlem,40.80592,-73.93653,Entire home/apt,150,3,72,2019-04-29,1.23,2,283
Mid-Century Modern Garden Paradise,16351647,Brooklyn,Bushwick,40.6825,-73.90818,Entire home/apt,149,2,234,2019-06-23,3.9,1,255
Lovely private room in Manhattan,3231109,Manhattan,Morningside Heights,40.81065,-73.96312,Private room,85,2,52,2019-06-05,0.91,2,329
2BR Apt with huge outdoor space,4951037,Brooklyn,Bedford-Stuyvesant,40.68818,-73.959,Entire home/apt,200,7,5,2016-09-10,0.09,1,0
"2 bedroom Duplex condo
+ yard 7 min to Manhattan",18953786,Queens,Astoria,40.76403,-73.92162,Entire home/apt,170,3,116,2019-06-13,1.96,2,355
Great Sunny Spacious Room,3086826,Bronx,Mount Hope,40.84611,-73.91036,Private room,40,3,59,2019-04-05,1.0,1,343
Spacious Stylish Sunny Retreat,19315796,Manhattan,Midtown,40.75911,-73.96299,Private room,70,1,0,,0.0,1,0
Amazing Upper East Side Location,19331457,Manhattan,Upper East Side,40.77632,-73.95458,Private room,95,1,389,2019-07-01,6.51,2,254
Private Room in Great NYC Nbrhood,7665324,Manhattan,Lower East Side,40.72144,-73.99356,Private room,95,1,64,2019-06-23,1.12,2,266
Modern Studio at The Manhattan Club,15765273,Manhattan,Midtown,40.76514,-73.98058,Private room,350,1,9,2018-08-25,0.2,1,0
BED-STUY SOUTHERN COMFORT ,19356930,Brooklyn,Bedford-Stuyvesant,40.6872,-73.93805,Entire home/apt,165,3,173,2019-07-06,2.97,1,297
Peaceful Studio in Prospect Heights,2274845,Brooklyn,Prospect Heights,40.67262,-73.96542,Entire home/apt,120,2,21,2019-05-19,0.51,1,13
Private Room in Flatiron,19359650,Manhattan,Midtown,40.74596,-73.98678,Private room,130,3,10,2017-09-19,0.38,1,0
"Bright, cozy den in 4 bedrm duplex.",23193,Brooklyn,Bedford-Stuyvesant,40.68826,-73.9385,Private room,40,1,8,2019-06-05,0.16,4,335
BKLYN BROWNSTONE: The Stuyvesant,19382874,Brooklyn,Bedford-Stuyvesant,40.6825,-73.92519,Entire home/apt,130,3,135,2019-05-28,2.27,2,206
Studio apartment,5785240,Manhattan,Harlem,40.80919,-73.94815,Entire home/apt,120,3,80,2019-06-29,1.37,1,245
Perfect Brooklyn Studio Apartment,6739436,Brooklyn,Bushwick,40.70716,-73.92171,Entire home/apt,90,1,40,2016-01-16,0.68,1,0
Akua's Bed-Stuy Study,18880856,Brooklyn,Bedford-Stuyvesant,40.68358,-73.94838,Private room,120,2,82,2019-06-21,1.6,1,328
Charming Harlem apartment,16065171,Manhattan,Harlem,40.81022,-73.94266,Shared room,115,1,16,2019-05-26,0.27,1,365
HUGE space at the heart of Meatpacking - Chelsea .,7196556,Manhattan,Chelsea,40.73986,-74.00035,Entire home/apt,150,2,1,2014-09-01,0.02,1,0
cute convenient village suite,5003239,Manhattan,Greenwich Village,40.7311,-74.00014,Private room,170,1,20,2019-05-02,0.4,1,364
Cute apartment with Backyard,3363799,Brooklyn,Williamsburg,40.70967,-73.94945,Entire home/apt,124,5,85,2019-06-23,1.45,1,238
Luxury Studio on (Email hidden by Airbnb),3716641,Manhattan,Upper West Side,40.79253,-73.97378,Entire home/apt,104,30,16,2018-12-23,0.28,8,101
Entire Luxury Newly Renovated Studio,3716641,Manhattan,Upper West Side,40.79203,-73.97299,Entire home/apt,99,30,14,2019-06-19,0.24,8,135
Quiet private room in luxury bldg facing park,10193030,Manhattan,Harlem,40.82217,-73.94149,Private room,85,3,0,,0.0,2,88
Quiet Oasis in the Middle of it All,16437254,Brooklyn,Fort Greene,40.68961,-73.97781,Entire home/apt,158,30,5,2019-03-30,0.1,21,278
Lower East Side Luxury,15047361,Manhattan,Lower East Side,40.72046,-73.99237,Entire home/apt,400,3,0,,0.0,1,0
Lovely Walk Up in the Heights,5680409,Manhattan,Washington Heights,40.85672,-73.9302,Shared room,100,2,0,,0.0,1,363
1 Bed Apt in Greenpoint Brooklyn ,18609156,Brooklyn,Greenpoint,40.72793,-73.95011,Entire home/apt,115,1,2,2015-06-18,0.03,1,0
Metro-luxe Tuscan Suite Private Room,17292935,Bronx,Mott Haven,40.8105,-73.92507,Private room,55,1,276,2019-06-17,4.63,2,19
Tidy Sweet Room in Sugar Hill/Hamilton Heights,1317384,Manhattan,Harlem,40.82621,-73.94596,Private room,72,3,154,2019-06-22,2.72,2,153
west village 1BR!best value!,2119276,Manhattan,West Village,40.73254,-74.00698,Entire home/apt,170,30,12,2018-08-12,0.22,39,252
1BR Clinton Hill Apt Beautiful Garden - Video,3028267,Brooklyn,Clinton Hill,40.69352,-73.96556,Entire home/apt,150,7,15,2019-05-25,0.27,1,280
Cosy Inwood apartment,5810195,Manhattan,Inwood,40.85988,-73.92709,Private room,39,1,13,2019-06-30,1.18,2,233
private bedroom in NYC apartment,7508547,Queens,Ridgewood,40.7012,-73.90008,Private room,49,2,77,2019-06-22,1.53,1,1
location Vera,3250450,Queens,Woodside,40.75338,-73.90618,Private room,39,30,9,2019-05-14,0.16,18,318
large 1 BR in heart of East Village,2331719,Manhattan,East Village,40.72695,-73.98617,Entire home/apt,200,3,78,2019-05-12,1.33,1,336
Vintage Williamsburg 1BR near park!,700913,Brooklyn,Williamsburg,40.71601,-73.95359,Entire home/apt,185,30,12,2018-08-13,0.2,1,0
Beautiful West Village 1 BR Apt--Best Location!,19106718,Manhattan,West Village,40.73223,-74.00355,Entire home/apt,200,4,17,2019-06-28,0.29,1,35
Room in spacious Boerum Hill duplex,2538522,Brooklyn,Boerum Hill,40.68558,-73.9815,Private room,110,3,1,2014-08-19,0.02,1,0
